Transaction ID,Customer ID,Amount (TRY),Timestamp,Payment Type,Shipping Type,Card Type (BIN),Shipping City,IS_FRAUD (Target)
10030,190,1269.3440874171984,2023-01-27 01:48:00,Credit Card,Pick-up,Amex,Antalya,0
10031,158,1577.6743155861486,2023-01-26 15:45:00,Debit Card,Pick-up,MasterCard,Antalya,0
10032,141,8055.336045043183,2023-01-05 05:56:00,Debit Card,Standard,Amex,Antalya,1
10033,191,994.5769727693792,2023-01-18 01:25:00,Credit Card,Express,MasterCard,Istanbul,0
10034,159,1338.5992306835387,2023-01-02 15:42:00,Bank Transfer,Standard,Visa,Istanbul,0
10035,179,1128.3528325543189,2023-01-16 14:23:00,Debit Card,Express,Amex,Antalya,0
10036,114,1215.0779321322636,2023-01-24 04:42:00,Debit Card,Express,Visa,Izmir,0
10037,161,1578.4734791667809,2023-01-19 07:05:00,Bank Transfer,Standard,MasterCard,Bursa,0
10038,161,987.7624713255204,2023-01-19 17:06:00,Debit Card,Pick-up,Amex,Antalya,0
10039,146,129.4705068803219,2023-01-10 20:02:00,Credit Card,Express,Amex,Ankara,0
10040,161,369.7989879295196,2023-01-06 19:57:00,Debit Card,Pick-up,Visa,Antalya,0
10041,150,905.2840721545998,2023-01-16 12:15:00,Debit Card,Standard,Amex,Istanbul,0
10042,154,1463.4117917544138,2023-01-10 23:54:00,Bank Transfer,Pick-up,Amex,Bursa,0
10043,163,1206.8933642048485,2023-01-19 21:17:00,Credit Card,Express,Visa,Ankara,0
10044,102,1318.073662453235,2023-01-16 06:50:00,Bank Transfer,Express,Amex,Bursa,0
10045,150,984.5939107237602,2023-01-17 18:03:00,Debit Card,Express,Visa,Bursa,0
10046,106,1250.6969427873735,2023-01-16 13:07:00,Debit Card,Standard,Visa,Ankara,0
10047,120,4478.597791736634,2023-01-03 02:10:00,Bank Transfer,Express,Visa,Antalya,1
10048,172,966.8560557584968,2023-01-20 06:49:00,Bank Transfer,Standard,Visa,Antalya,0
10049,138,1501.3441779101634,2023-01-06 13:46:00,Bank Transfer,Pick-up,Visa,Antalya,0
10050,117,1750.0739189975864,2023-01-03 07:06:00,Credit Card,Express,MasterCard,Izmir,0
10051,103,895.6279012149583,2023-01-24 09:05:00,Debit Card,Express,MasterCard,Antalya,0
10052,188,135.1402325293543,2023-01-07 10:37:00,Bank Transfer,Express,Visa,Ankara,0
10053,159,365.2614610862652,2023-01-30 07:59:00,Debit Card,Pick-up,MasterCard,Izmir,0
10054,113,90.6792216184993,2023-01-11 04:43:00,Credit Card,Express,MasterCard,Antalya,0
10055,108,1323.8628875127938,2023-01-01 11:10:00,Credit Card,Standard,Amex,Izmir,0
10056,189,4520.23440374274,2023-01-17 03:35:00,Credit Card,Pick-up,Visa,Ankara,1
10057,152,1107.8333396527667,2023-01-13 10:09:00,Credit Card,Pick-up,MasterCard,Antalya,0
10058,101,1011.8898512284092,2023-01-10 00:46:00,Debit Card,Pick-up,Amex,Istanbul,0
10059,183,208.97665462723205,2023-01-19 10:11:00,Credit Card,Pick-up,Amex,Ankara,0
10060,191,5416.14392483168,2023-01-16 03:39:00,Credit Card,Pick-up,Visa,Bursa,1
10061,159,480.09419359853035,2023-01-12 13:13:00,Bank Transfer,Standard,Visa,Bursa,0
10062,170,865.8795879019228,2023-01-25 01:40:00,Credit Card,Pick-up,Amex,Ankara,0
10063,143,446.9776466673732,2023-01-03 09:19:00,Bank Transfer,Express,Visa,Bursa,0
10064,107,1688.8821922400205,2023-01-23 08:12:00,Credit Card,Pick-up,Visa,Ankara,0
10065,146,389.6770063275946,2023-01-25 17:42:00,Credit Card,Pick-up,Amex,Istanbul,0
10066,134,1923.522075399605,2023-01-09 00:57:00,Bank Transfer,Pick-up,Amex,Ankara,0
10067,177,861.0193639865346,2023-01-09 04:03:00,Credit Card,Pick-up,Visa,Antalya,0
10068,180,1700.1783194371462,2023-01-15 00:16:00,Debit Card,Pick-up,MasterCard,Antalya,0
10069,135,1276.0913955015928,2023-01-17 20:15:00,Debit Card,Standard,Visa,Izmir,0
10070,149,1483.9330823982177,2023-01-29 11:23:00,Credit Card,Standard,MasterCard,Bursa,0
10071,103,1547.0615817302216,2023-01-14 21:16:00,Debit Card,Pick-up,Amex,Bursa,0
10072,101,1034.4475196913847,2023-01-25 13:46:00,Bank Transfer,Standard,MasterCard,Ankara,0
10073,105,7184.546902308179,2023-01-15 05:02:00,Credit Card,Express,Amex,Bursa,1
10074,153,1052.2919422270138,2023-01-25 22:51:00,Credit Card,Pick-up,Visa,Antalya,0
10075,103,1196.7138372756544,2023-01-25 19:10:00,Bank Transfer,Express,Visa,Istanbul,0
10076,153,107.31916922518921,2023-01-25 02:13:00,Bank Transfer,Express,Amex,Ankara,0
10077,192,821.2545812055797,2023-01-25 19:40:00,Bank Transfer,Pick-up,Amex,Bursa,0
10078,162,1232.0679914442844,2023-01-09 03:05:00,Credit Card,Express,Amex,Antalya,0
10079,117,1215.5609522489356,2023-01-20 11:27:00,Bank Transfer,Express,Visa,Izmir,0
10080,189,1596.2643844809816,2023-01-08 14:46:00,Bank Transfer,Express,Visa,Bursa,0
10081,143,1327.2682107226117,2023-01-13 01:34:00,Debit Card,Pick-up,MasterCard,Istanbul,0
10082,133,1984.6599668643112,2023-01-08 17:38:00,Debit Card,Pick-up,Amex,Istanbul,0
10083,173,603.5163307868578,2023-01-12 01:35:00,Credit Card,Express,MasterCard,Bursa,0
10084,161,750.3445078491513,2023-01-01 08:09:00,Debit Card,Pick-up,Visa,Bursa,0
10085,199,798.5019461422028,2023-01-16 11:00:00,Debit Card,Pick-up,MasterCard,Antalya,0
10086,113,958.3349736894846,2023-01-19 02:29:00,Bank Transfer,Express,MasterCard,Bursa,0
10087,194,10880.707274147804,2023-01-14 04:15:00,Bank Transfer,Pick-up,Visa,Izmir,1
10088,147,509.79458322045923,2023-01-26 04:44:00,Debit Card,Standard,Visa,Antalya,0
10089,114,1563.2004037190875,2023-01-28 04:58:00,Debit Card,Pick-up,Amex,Ankara,0
10090,171,840.3548570171996,2023-01-23 19:01:00,Debit Card,Standard,MasterCard,Izmir,0
10091,177,1223.6179981409166,2023-01-12 19:19:00,Credit Card,Express,Visa,Antalya,0
10092,186,1283.454039791297,2023-01-27 21:12:00,Credit Card,Pick-up,Visa,Antalya,0
10093,161,5032.094558214647,2023-01-28 03:32:00,Credit Card,Express,MasterCard,Istanbul,1
10094,139,1049.59965015132,2023-01-24 10:02:00,Debit Card,Express,Visa,Antalya,0
10095,184,855.4107905630092,2023-01-08 09:05:00,Debit Card,Express,Amex,Izmir,0
10096,179,184.80893306390792,2023-01-02 03:09:00,Credit Card,Express,Amex,Bursa,0
10097,181,5844.28118702279,2023-01-08 02:53:00,Credit Card,Express,MasterCard,Izmir,1
10098,152,239.91711547942674,2023-01-05 18:19:00,Debit Card,Pick-up,Amex,Ankara,0
10099,123,5438.361962066303,2023-01-29 02:29:00,Bank Transfer,Standard,Visa,Antalya,1
10100,125,1206.1908796719747,2023-01-26 00:46:00,Credit Card,Pick-up,Visa,Antalya,0
10101,188,1179.8590537198265,2023-01-16 03:59:00,Debit Card,Pick-up,Visa,Antalya,0
10102,159,1342.1114940662246,2023-01-19 21:36:00,Debit Card,Pick-up,Visa,Antalya,0
10103,140,235.75994051152128,2023-01-14 03:45:00,Bank Transfer,Pick-up,MasterCard,Istanbul,0
10104,128,1321.6403287843539,2023-01-05 12:59:00,Debit Card,Standard,Amex,Istanbul,0
10105,114,658.6887105580718,2023-01-24 08:25:00,Debit Card,Pick-up,Amex,Bursa,0
10106,144,828.1395949673666,2023-01-04 09:26:00,Credit Card,Express,Visa,Antalya,0
10107,164,1723.0731951492762,2023-01-06 04:45:00,Credit Card,Pick-up,MasterCard,Ankara,0
10108,188,67.60928805262299,2023-01-22 20:15:00,Bank Transfer,Pick-up,Visa,Bursa,0
10109,170,1197.4046350141807,2023-01-12 15:27:00,Bank Transfer,Standard,Visa,Antalya,0
10110,108,1217.4922611952097,2023-01-20 18:13:00,Debit Card,Standard,MasterCard,Istanbul,0
10111,187,823.4865638699458,2023-01-08 11:04:00,Credit Card,Express,MasterCard,Ankara,0
10112,100,512.2043213612556,2023-01-26 18:22:00,Bank Transfer,Pick-up,Visa,Bursa,0
10113,107,507.61437461002464,2023-01-09 11:46:00,Bank Transfer,Pick-up,Amex,Ankara,0
10114,187,11483.205493562293,2023-01-20 02:29:00,Bank Transfer,Pick-up,Visa,Antalya,1
10115,162,911.9475288765722,2023-01-16 16:28:00,Debit Card,Express,Amex,Izmir,0
10116,110,695.2342578288852,2023-01-10 08:00:00,Credit Card,Standard,Amex,Ankara,0
10117,180,925.116268971236,2023-01-23 00:29:00,Bank Transfer,Express,MasterCard,Ankara,0
10118,107,1355.3112828457547,2023-01-16 14:55:00,Credit Card,Pick-up,MasterCard,Istanbul,0
10119,134,334.2253080772658,2023-01-26 16:59:00,Bank Transfer,Standard,Visa,Antalya,0
10120,134,926.3959786667886,2023-01-01 15:22:00,Bank Transfer,Standard,Amex,Ankara,0
10121,132,1196.3745236652546,2023-01-20 02:46:00,Credit Card,Express,Amex,Antalya,0
10122,104,1899.7375419602959,2023-01-06 12:37:00,Credit Card,Standard,Visa,Istanbul,0
10123,140,3512.692734948753,2023-01-24 05:38:00,Credit Card,Standard,Visa,Antalya,1
10124,127,750.5389584366789,2023-01-17 16:31:00,Debit Card,Pick-up,Visa,Istanbul,0
10125,106,5114.301703794744,2023-01-07 05:46:00,Bank Transfer,Pick-up,MasterCard,Istanbul,1
10126,172,1230.7994074075216,2023-01-27 04:21:00,Debit Card,Standard,Visa,Bursa,0
10127,171,745.6275034280033,2023-01-19 00:19:00,Credit Card,Standard,Visa,Antalya,0
10128,111,1090.3482543344064,2023-01-15 02:44:00,Bank Transfer,Express,Amex,Izmir,0
10129,133,10196.176486030983,2023-01-16 05:07:00,Debit Card,Express,Visa,Bursa,1
10130,132,1425.5019085187969,2023-01-01 03:23:00,Bank Transfer,Standard,Amex,Istanbul,0
10131,147,920.4188606995418,2023-01-12 11:44:00,Debit Card,Pick-up,Amex,Izmir,0
10132,122,1735.2215464646295,2023-01-12 00:59:00,Credit Card,Standard,MasterCard,Ankara,0
10133,161,1138.3734867080327,2023-01-21 04:23:00,Debit Card,Standard,Visa,Ankara,0
10134,187,1102.8163870293145,2023-01-18 14:24:00,Bank Transfer,Pick-up,Visa,Bursa,0
10135,136,116.66614358135844,2023-01-03 14:28:00,Bank Transfer,Pick-up,Amex,Izmir,0
10136,198,1974.051311696465,2023-01-28 10:06:00,Bank Transfer,Express,MasterCard,Antalya,0
10137,143,289.7930766327721,2023-01-01 18:13:00,Bank Transfer,Express,MasterCard,Izmir,0
10138,185,3242.4948318143634,2023-01-11 05:48:00,Credit Card,Express,Visa,Bursa,1
10139,190,150.80883262097757,2023-01-15 12:04:00,Debit Card,Express,Amex,Antalya,0
10140,134,1298.0057853319818,2023-01-18 11:43:00,Credit Card,Pick-up,Visa,Antalya,0
10141,164,488.167295096726,2023-01-12 03:14:00,Credit Card,Standard,Visa,Ankara,0
10142,198,401.0203530718108,2023-01-04 23:10:00,Credit Card,Express,Visa,Izmir,0
10143,146,222.6833892353207,2023-01-30 12:20:00,Bank Transfer,Express,Visa,Antalya,0
10144,177,251.45246639183054,2023-01-14 08:59:00,Bank Transfer,Pick-up,Amex,Bursa,0
10145,102,7706.966082456287,2023-01-25 02:19:00,Bank Transfer,Pick-up,MasterCard,Ankara,1
10146,100,1392.0053384398611,2023-01-24 05:37:00,Debit Card,Standard,Visa,Antalya,0
10147,104,824.8890275055819,2023-01-14 23:43:00,Bank Transfer,Standard,Visa,Izmir,0
10148,189,985.7993091045428,2023-01-02 11:03:00,Debit Card,Pick-up,Visa,Ankara,0
10149,113,1387.637085166819,2023-01-01 06:05:00,Bank Transfer,Express,Visa,Izmir,0
10150,126,83.8905908616853,2023-01-12 04:23:00,Bank Transfer,Express,MasterCard,Izmir,0
10151,108,680.1047812870431,2023-01-23 13:50:00,Credit Card,Express,MasterCard,Izmir,0
10152,178,1947.5406087371755,2023-01-17 23:56:00,Credit Card,Standard,MasterCard,Ankara,0
10153,114,1181.2188479061626,2023-01-09 20:22:00,Credit Card,Express,MasterCard,Antalya,0
10154,189,545.7379308001118,2023-01-09 14:31:00,Debit Card,Express,Visa,Istanbul,0
10155,141,1067.3735909406157,2023-01-26 15:40:00,Debit Card,Pick-up,Amex,Antalya,0
10156,176,718.174301835785,2023-01-21 01:41:00,Bank Transfer,Express,MasterCard,Ankara,0
10157,150,1087.8777282112833,2023-01-23 05:21:00,Debit Card,Pick-up,MasterCard,Istanbul,0
10158,162,295.19594802296524,2023-01-11 20:23:00,Bank Transfer,Express,Visa,Istanbul,0
10159,195,308.7935749475909,2023-01-02 15:38:00,Debit Card,Standard,Visa,Istanbul,0
10160,151,329.90760597681606,2023-01-15 20:12:00,Debit Card,Express,Visa,Bursa,0
10161,195,1882.6485942573413,2023-01-27 16:37:00,Debit Card,Express,Visa,Ankara,0
10162,103,1479.1528907656166,2023-01-25 15:43:00,Credit Card,Pick-up,Amex,Bursa,0
10163,193,366.64469459152576,2023-01-22 08:26:00,Debit Card,Pick-up,Amex,Istanbul,0
10164,122,2702.249432041943,2023-01-20 02:23:00,Credit Card,Pick-up,MasterCard,Bursa,1
10165,114,1475.1174759982089,2023-01-07 20:27:00,Credit Card,Express,Amex,Bursa,0
10166,142,354.5194973447392,2023-01-29 15:38:00,Debit Card,Express,MasterCard,Ankara,0
10167,128,507.3945220029159,2023-01-24 10:04:00,Bank Transfer,Standard,MasterCard,Izmir,0
10168,135,1928.526323999778,2023-01-07 11:06:00,Bank Transfer,Express,Amex,Bursa,0
10169,112,547.8477232204422,2023-01-28 08:31:00,Bank Transfer,Standard,MasterCard,Bursa,0
10170,131,1340.1830832237363,2023-01-11 08:28:00,Debit Card,Pick-up,Visa,Istanbul,0
10171,170,1958.3310104310342,2023-01-19 19:21:00,Bank Transfer,Pick-up,MasterCard,Istanbul,0
10172,158,779.8786959225956,2023-01-26 20:28:00,Credit Card,Pick-up,Visa,Istanbul,0
10173,185,84.15618218102136,2023-01-17 05:46:00,Bank Transfer,Standard,Amex,Antalya,0
10174,127,526.0872163236298,2023-01-20 15:42:00,Debit Card,Express,Amex,Bursa,0
10175,165,1670.2105231163257,2023-01-14 08:12:00,Bank Transfer,Pick-up,MasterCard,Istanbul,0
10176,141,1735.9872301123216,2023-01-25 17:38:00,Credit Card,Express,Visa,Ankara,0
10177,144,1548.6127608213928,2023-01-08 10:18:00,Debit Card,Express,MasterCard,Antalya,0
10178,161,270.5641471993174,2023-01-04 04:34:00,Bank Transfer,Pick-up,Amex,Izmir,0
10179,156,1601.2452248079862,2023-01-18 17:25:00,Debit Card,Standard,MasterCard,Bursa,0
10180,105,11924.780118139648,2023-01-10 05:02:00,Debit Card,Express,MasterCard,Bursa,1
10181,127,7908.240464442529,2023-01-10 05:54:00,Debit Card,Pick-up,Visa,Ankara,1
10182,127,1884.7069448592265,2023-01-21 06:19:00,Bank Transfer,Express,Amex,Izmir,0
10183,143,1662.3358232381609,2023-01-05 14:44:00,Debit Card,Express,MasterCard,Izmir,0
10184,183,1350.5944581322692,2023-01-25 17:38:00,Bank Transfer,Express,Visa,Antalya,0
10185,129,1175.511211587909,2023-01-23 20:53:00,Credit Card,Express,MasterCard,Bursa,0
10186,161,4725.552242151944,2023-01-24 02:27:00,Bank Transfer,Express,Visa,Istanbul,1
10187,174,2335.26146044739,2023-01-29 05:33:00,Credit Card,Standard,Visa,Ankara,1
10188,191,1229.6601492465545,2023-01-13 01:35:00,Bank Transfer,Standard,MasterCard,Ankara,0
10189,188,670.317529555333,2023-01-22 11:26:00,Debit Card,Pick-up,Amex,Ankara,0
10190,161,1739.5554016789085,2023-01-26 10:07:00,Bank Transfer,Standard,Amex,Ankara,0
10191,196,1987.0070278493256,2023-01-13 06:02:00,Debit Card,Standard,Visa,Istanbul,0
10192,100,1517.2341371003665,2023-01-17 15:53:00,Credit Card,Standard,Amex,Istanbul,0
10193,126,226.43930580974896,2023-01-15 17:08:00,Bank Transfer,Express,Visa,Antalya,0
10194,161,612.9369112847443,2023-01-23 15:16:00,Debit Card,Express,Amex,Bursa,0
10195,176,262.76378194321194,2023-01-20 06:52:00,Credit Card,Pick-up,MasterCard,Istanbul,0
10196,102,1318.4977131938458,2023-01-22 10:17:00,Credit Card,Pick-up,Amex,Antalya,0
10197,169,1542.12218588378,2023-01-08 11:36:00,Bank Transfer,Pick-up,Visa,Izmir,0
10198,171,1855.0659202173879,2023-01-23 19:15:00,Credit Card,Express,Visa,Bursa,0
10199,126,904.436075503376,2023-01-07 19:08:00,Debit Card,Standard,Amex,Istanbul,0
10200,108,1807.6825166974663,2023-01-04 22:20:00,Credit Card,Standard,MasterCard,Izmir,0
10201,161,1761.8877601305887,2023-01-04 02:38:00,Credit Card,Express,Visa,Antalya,0
10202,136,668.5316476925273,2023-01-06 16:50:00,Debit Card,Pick-up,Visa,Istanbul,0
10203,196,1744.3562198041134,2023-01-08 14:02:00,Credit Card,Pick-up,Visa,Istanbul,0
10204,150,782.5608911693666,2023-01-26 04:49:00,Credit Card,Pick-up,Visa,Izmir,0
10205,143,4072.6334406914752,2023-01-24 05:40:00,Credit Card,Express,Visa,Istanbul,1
10206,123,1315.6955846490664,2023-01-28 16:10:00,Credit Card,Pick-up,MasterCard,Ankara,0
10207,178,690.343394375908,2023-01-27 12:03:00,Debit Card,Pick-up,Amex,Istanbul,0
10208,158,1278.9070592418311,2023-01-13 22:42:00,Credit Card,Express,MasterCard,Bursa,0
10209,131,1239.1720207224544,2023-01-08 16:54:00,Debit Card,Standard,MasterCard,Izmir,0
10210,195,1148.7059083294946,2023-01-16 13:43:00,Credit Card,Express,Visa,Bursa,0
10211,187,791.8184232539555,2023-01-24 04:58:00,Credit Card,Express,MasterCard,Antalya,0
10212,151,1119.5744572203796,2023-01-04 23:41:00,Credit Card,Express,Visa,Bursa,0
10213,161,1213.146676221572,2023-01-05 17:58:00,Credit Card,Express,MasterCard,Ankara,0
10214,157,1114.0894325661732,2023-01-03 06:22:00,Debit Card,Standard,Visa,Ankara,0
10215,151,916.617932864843,2023-01-04 11:16:00,Debit Card,Pick-up,Visa,Bursa,0
10216,111,78.60076124021442,2023-01-16 09:24:00,Debit Card,Express,MasterCard,Antalya,0
10217,138,7737.159524687677,2023-01-25 05:15:00,Bank Transfer,Standard,MasterCard,Istanbul,1
10218,101,378.4665510283033,2023-01-22 00:17:00,Credit Card,Pick-up,Amex,Ankara,0
10219,102,1303.0231394470197,2023-01-10 20:51:00,Credit Card,Pick-up,Amex,Bursa,0
10220,155,1530.7214394495886,2023-01-22 03:33:00,Debit Card,Pick-up,Amex,Bursa,0
10221,180,1025.868352804946,2023-01-04 15:12:00,Bank Transfer,Express,MasterCard,Bursa,0
10222,158,1107.6091467104898,2023-01-02 12:57:00,Credit Card,Express,MasterCard,Istanbul,0
10223,101,1905.3831913486827,2023-01-17 19:49:00,Debit Card,Pick-up,Visa,Izmir,0
10224,101,1701.9763546765198,2023-01-10 21:12:00,Credit Card,Pick-up,Amex,Antalya,0
10225,191,1832.7612061053665,2023-01-18 18:53:00,Credit Card,Pick-up,Visa,Izmir,0
10226,153,1636.8442622231935,2023-01-10 17:46:00,Debit Card,Pick-up,Visa,Antalya,0
10227,186,262.3907666011263,2023-01-20 19:54:00,Debit Card,Pick-up,Visa,Antalya,0
10228,195,340.53411914187967,2023-01-22 11:08:00,Credit Card,Pick-up,Visa,Bursa,0
10229,196,1076.916404674471,2023-01-14 14:50:00,Credit Card,Standard,Amex,Ankara,0
10230,100,529.8358346560966,2023-01-28 12:05:00,Debit Card,Pick-up,Visa,Bursa,0
10231,118,979.5561763302604,2023-01-05 21:11:00,Credit Card,Express,MasterCard,Istanbul,0
10232,101,819.0123814457829,2023-01-18 17:15:00,Credit Card,Express,MasterCard,Antalya,0
10233,152,1121.357764939384,2023-01-26 08:04:00,Debit Card,Express,MasterCard,Ankara,0
10234,143,1506.4076464648542,2023-01-26 03:02:00,Credit Card,Pick-up,Amex,Antalya,0
10235,189,1445.207268843585,2023-01-01 09:30:00,Credit Card,Express,Visa,Antalya,0
10236,131,1066.4065583464019,2023-01-23 09:34:00,Bank Transfer,Standard,Amex,Bursa,0
10237,169,1653.6671666932632,2023-01-14 09:28:00,Debit Card,Pick-up,Visa,Ankara,0
10238,131,890.181078499165,2023-01-10 05:28:00,Bank Transfer,Express,Amex,Ankara,0
10239,167,1798.5928651882386,2023-01-21 17:57:00,Bank Transfer,Standard,Amex,Antalya,0
10240,154,188.99652660756962,2023-01-14 02:49:00,Bank Transfer,Standard,Visa,Ankara,0
10241,174,1911.5870585649495,2023-01-01 15:17:00,Credit Card,Express,Amex,Ankara,0
10242,155,1326.651508791129,2023-01-07 23:46:00,Credit Card,Standard,Visa,Bursa,0
10243,116,791.1452924275503,2023-01-21 11:44:00,Bank Transfer,Express,MasterCard,Izmir,0
10244,137,434.4505468171108,2023-01-05 20:22:00,Bank Transfer,Standard,MasterCard,Istanbul,0
10245,123,984.4072974150198,2023-01-28 03:44:00,Bank Transfer,Pick-up,MasterCard,Izmir,0
10246,168,429.3887302113369,2023-01-13 13:02:00,Credit Card,Pick-up,Amex,Ankara,0
10247,197,374.3466350991272,2023-01-12 19:19:00,Bank Transfer,Pick-up,MasterCard,Antalya,0
10248,169,1253.8359269552998,2023-01-07 21:41:00,Bank Transfer,Pick-up,Visa,Istanbul,0
10249,185,1070.0152129344801,2023-01-17 07:10:00,Debit Card,Pick-up,MasterCard,Istanbul,0
10250,110,1356.6872674913363,2023-01-15 16:13:00,Debit Card,Express,MasterCard,Antalya,0
10251,115,1862.731460972879,2023-01-04 03:29:00,Credit Card,Pick-up,Amex,Istanbul,0
10252,196,1087.9074160111284,2023-01-13 03:59:00,Debit Card,Pick-up,Visa,Antalya,0
10253,172,1182.8175038624556,2023-01-09 11:12:00,Debit Card,Pick-up,Amex,Istanbul,0
10254,158,1455.5867648116125,2023-01-06 05:46:00,Debit Card,Pick-up,Amex,Izmir,1
10255,169,1449.3897825218276,2023-01-06 00:26:00,Credit Card,Standard,Visa,Istanbul,0
10256,179,5373.762685206464,2023-01-27 03:10:00,Debit Card,Pick-up,Amex,Bursa,1
10257,192,1954.6142153920289,2023-01-15 18:19:00,Credit Card,Pick-up,Visa,Antalya,0
10258,102,1655.1893304115376,2023-01-24 16:07:00,Bank Transfer,Express,MasterCard,Istanbul,0
10259,119,1068.8380290064308,2023-01-01 19:01:00,Debit Card,Standard,Visa,Antalya,0
10260,158,290.2841756357238,2023-01-04 05:07:00,Credit Card,Express,Visa,Bursa,0
10261,135,1725.860796897149,2023-01-02 20:50:00,Debit Card,Pick-up,Visa,Istanbul,0
10262,118,1609.5731360768423,2023-01-28 20:11:00,Bank Transfer,Express,Amex,Istanbul,0
10263,189,409.9410025972143,2023-01-03 06:15:00,Credit Card,Express,Visa,Bursa,0
10264,166,4052.5426091888216,2023-01-04 05:53:00,Credit Card,Pick-up,Visa,Bursa,1
10265,118,1597.1441533882828,2023-01-26 14:36:00,Credit Card,Standard,Visa,Bursa,0
10266,119,411.19547076744885,2023-01-14 11:24:00,Bank Transfer,Standard,MasterCard,Antalya,0
10267,195,11913.095407366147,2023-01-18 02:00:00,Bank Transfer,Express,Visa,Bursa,1
10268,170,5684.6900259627555,2023-01-18 02:20:00,Bank Transfer,Pick-up,Amex,Antalya,1
10269,151,219.72597704593434,2023-01-14 07:33:00,Credit Card,Express,Visa,Izmir,0
10270,132,1640.7098548333477,2023-01-17 15:49:00,Bank Transfer,Express,Visa,Istanbul,0
10271,139,778.3438819248559,2023-01-30 13:30:00,Debit Card,Express,MasterCard,Istanbul,0
10272,138,1076.673428599873,2023-01-18 00:39:00,Bank Transfer,Pick-up,Visa,Ankara,0
10273,181,1741.9627426245434,2023-01-16 02:59:00,Credit Card,Pick-up,Amex,Izmir,1
10274,100,55.03882894771565,2023-01-08 22:13:00,Debit Card,Standard,Visa,Bursa,0
10275,110,1294.0711512969303,2023-01-11 09:55:00,Bank Transfer,Pick-up,Amex,Bursa,0
10276,191,6829.382266611492,2023-01-17 02:39:00,Debit Card,Express,MasterCard,Izmir,1
10277,156,1207.400209790137,2023-01-17 07:53:00,Debit Card,Express,Visa,Bursa,0
10278,188,1597.8005082420068,2023-01-04 11:41:00,Credit Card,Standard,MasterCard,Ankara,0
10279,149,1310.8815311745773,2023-01-23 13:04:00,Debit Card,Pick-up,Visa,Antalya,0
10280,122,390.80821351338545,2023-01-15 15:59:00,Debit Card,Express,Amex,Istanbul,0
